id;location
1;АльФараби - Фурманова(зн)
2;Аль Фараби - Каратаева (AFD PLAZA западное направление)
3;Аль Фараби - Ремезовка (ESENTAI MALL западное направление)
4;АльФараби - Ходжанова(зн)
5;АльФараби - Жарокова(зн)
6;АльФараби - Розыбакиева(сн)
7;АльФараби - р.Алматинка(зн)
8;Саина - Жандосова(зн)
9;АльФараби - Дулати(вн)
10;АльФараби - Гагарина(вн)
11;АльФараби - Баганашил(вн)
12;АльФараби - Ремизовка(вн)
13;АльФараби - Сейфуллина(вн)
14;АльФараби - Фурманова(сн)
15;АльФараби - ТД Достык Плаза(сн)
