amount,bv_number,hour,intensity,load,minute,month,point,precip,red_day,speed,temp,weekday
75,2,16,0,1,972,7,6,0,1,64,21,6
255,2,16,0,8,973,7,1,0,1,30,21,6
50,2,16,0,2,973,7,9,0,1,17,21,6
118,2,16,0,1,974,7,4,0,1,83,21,6
192,2,16,0,5,974,7,8,0,1,38,21,6
250,2,16,0,3,975,7,4,0,1,83,21,6
158,2,16,0,15,976,7,9,0,1,10,21,6
279,2,16,0,8,976,7,8,0,1,33,21,6
257,2,16,0,10,977,7,9,0,1,25,21,6
117,2,16,0,1,977,7,1,0,1,60,21,6
103,2,16,0,5,978,7,9,0,1,20,21,6
192,2,16,0,4,979,7,8,0,1,39,21,6
234,2,16,0,14,979,7,9,0,1,16,21,6
300,2,16,0,6,980,7,8,0,1,49,21,6
149,2,16,0,1,980,7,4,0,1,86,21,6
300,2,16,0,6,981,7,8,0,1,48,21,6
124,2,16,0,1,981,7,4,0,1,84,21,6
272,2,16,0,19,982,7,9,0,1,14,21,6
221,2,16,0,6,983,7,8,0,1,36,21,6
43,2,16,0,0,983,7,7,0,1,56,21,6
79,2,16,0,1,984,7,8,0,1,46,21,6
108,2,16,0,4,984,7,9,0,1,26,21,6
225,2,16,0,14,985,7,9,0,1,16,21,6
215,2,16,0,2,986,7,1,0,1,80,21,6
181,2,16,0,2,986,7,6,0,1,61,21,6
289,2,16,0,3,987,7,4,0,1,88,21,6
51,2,16,0,1,987,7,8,0,1,44,21,6
281,2,16,0,3,988,7,4,0,1,81,21,6
203,2,16,0,13,989,7,9,0,1,15,21,6
108,2,16,0,3,989,7,8,0,1,35,21,6
168,2,16,0,4,990,7,8,0,1,37,21,6
58,2,16,0,0,990,7,6,0,1,64,21,6
187,2,16,0,3,991,7,6,0,1,61,21,6
75,2,16,0,1,991,7,6,0,1,64,21,6
255,2,16,0,8,992,7,1,0,1,30,21,6
50,2,16,0,2,993,7,9,0,1,17,21,6
118,2,16,0,1,993,7,4,0,1,83,21,6
192,2,16,0,5,994,7,8,0,1,38,21,6
